trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.95, 'e': 4.72528381235898e-05}",30,22,17.264732865485986,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.95, 'e': 4.660983374272304e-05}",20,14,10.898515154096724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.95, 'e': 4.5979865416933924e-05}",30,17,24.567929264332623,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.95, 'e': 4.5362583126933584e-05}",20,0,16.13486670375854,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
149,False,"{'a': 0.95, 'e': 4.4757648522661915e-05}",20,5,23.45907322933463,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.95, 'e': 4.416473445953406e-05}",30,12,30.74995994699614,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.95, 'e': 4.358352455604732e-05}",20,10,19.102783007579536,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.95, 'e': 4.3013712771631596e-05}",20,11,13.83982954422272,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.95, 'e': 4.2455003003691465e-05}",30,20,20.303322694676876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.95, 'e': 4.1907108702849263e-05}",25,14,-16.27576793275189,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.95, 'e': 4.1369752505455636e-05}",20,11,14.4993224561588,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.95, 'e': 4.084266588248748e-05}",25,10,30.567947233194253,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.95, 'e': 4.0325588804003524e-05}",25,14,9.839225730714308,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.95, 'e': 3.981826941837454e-05}",25,3,26.03008614293615,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.95, 'e': 3.932046374554942e-05}",25,19,9.810676035971412,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.95, 'e': 3.883193538365952e-05}",20,12,17.098218476724803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.95, 'e': 3.835245522830258e-05}",30,13,30.150146052321755,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.95, 'e': 3.788180120388364e-05}",20,10,16.91941832688513,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.95, 'e': 3.741975800642498e-05}",25,12,23.815804588849158,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.95, 'e': 3.696611685728861e-05}",20,6,26.473924325639942,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.95, 'e': 3.6520675267285694e-05}",25,11,22.69152557032,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.95, 'e': 3.608323681067486e-05}",20,10,19.700663363209106,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.95, 'e': 3.565361090857879e-05}",25,15,19.20348172420671,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.95, 'e': 3.523161262137291e-05}",20,0,32.77717540248358,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.95, 'e': 3.481706244962406e-05}",30,13,35.35042304607854,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.95, 'e': 3.440978614317912e-05}",25,15,20.524127437157578,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
